x,emi
430.47,0.00886
438.495,0.00098
444.937,0.01279
448.553,0.01574
451.718,0.04231
456.804,0.12005
457.256,0.15055
459.855,0.1968
461.099,0.25781
462.229,0.30996
463.585,0.37196
464.941,0.43395
466.41,0.50677
466.976,0.57171
468.445,0.64256
469.349,0.71341
471.044,0.79606
472.401,0.87675
472.966,0.91611
474.096,0.94662
475.339,0.99582
478.052,0.9968
479.86,0.98696
480.99,0.96433
481.894,0.94367
483.137,0.90726
484.381,0.87478
485.85,0.83641
487.432,0.7941
488.901,0.76162
491.049,0.71833
493.422,0.69668
496.022,0.69176
498.621,0.70652
500.316,0.72423
502.803,0.75375
505.854,0.77343
509.358,0.76359
511.053,0.73309
512.41,0.70849
514.105,0.67405
516.252,0.63272
517.835,0.58549
520.095,0.54219
522.581,0.49299
524.503,0.44674
525.633,0.41328
528.458,0.35129
532.188,0.30603
536.483,0.27651
541.795,0.24895
545.637,0.21845
549.819,0.19287
552.871,0.17319
556.939,0.14071
561.912,0.11513
566.32,0.09446
572.31,0.06298
577.961,0.04625
583.951,0.03542
590.506,0.03149
597.175,0.02755
604.182,0.02066
611.189,0.01279
616.614,0.00689
621.813,0.00394
627.916,0.00098
634.471,0
